Eticheta,Lungime,Latime,Pret
A34R3
C1_1,856,447,0
C1_2,856,447,0
C2_1,856,447,0
C2_2,856,447,0
C3_1,856,397,0
C3_2,856,397,0
C3_1,341,796,0
C3_2,341,796,0
C3_3,169,796,0
C5_1,596,447,0
C5_2,596,447,0
c6_1,596,397,0
c6_2,596,397,0
c7_1,596,297,0
c7_2,596,297,0
