Length;Width;Qty;Enabled
896;856;1;C1.pfl;TRUE
896;856;1;C2.pfl;TRUE
796;856;1;C3.pfl;TRUE
734;583;1;C3.ser;TRUE
734;583;1;C3.ser;TRUE
734;583;1;C3.ser;TRUE
596;856;1;C4.pfl;TRUE
896;596;1;C5.pfl;TRUE
796;596;1;c6.pfl;TRUE
596;596;1;c7.pfl;TRUE
