Element type,Element Label,Size,Unit,Material,Price
pal,t6.plinta,0.045,sheet,Alb W962ST2,2.357
pal,t6.sep.h,0.22944,sheet,Alb W962ST2,14.7136
pal,t6.sep.h,0.22944,sheet,Alb W962ST2,14.7136
pal,t6.sep.v,0.729072,sheet,Alb W962ST2,46.22648
pal,t6.sep.v,0.729072,sheet,Alb W962ST2,46.22648
pal,t6.sep.h,0.678528,sheet,Alb W962ST2,43.88376
pal,pol_kalax,0.12395,sheet,Alb W962ST2,8.19595
pal,pol_kalax,0.12395,sheet,Alb W962ST2,8.19595
pal,usa_med,0.6,sheet,Alb W962ST2,46.138
