Eticheta,Lungime,Latime,Pret
A34R3
T1_1,1996,596,0
C1_1,294,596,0
C1_2,294,596,0
C1_3,146,596,0
C2_1,738,279,0
C2_2,738,279,0
C3_1,146,596,0
C4_1,738,446,0
C5_1,738,547,0
C5_2,738,547,0
C6_1,738,146,0
S1_1,496,297,0
S1_2,496,297,0
S2_1,496,296,0
S3_1,496,279,0
S3_2,496,179,0
S4_1,496,208,0
S5_1,446,297,0
S5_2,446,297,0
