Bucati,Lungime,Latime,Eticheta
1,596,1996,T1.pfl
1,596,738,C1.pfl
1,896,738,C2.pfl
1,596,738,C3.pfl
1,146,738,C6.pfl
1,146,738,C6.pfl
1,596,496,S1.pfl
1,296,496,S2.pfl
1,596,496,S3.pfl
1,208,496,S4.pfl
1,596,446,S5.pfl
